JID,Jurisdiction,Precinct,Precinct Description,Polling Place Name,Description,Address Line 1,Address Line 2,City,State,Zip,Accessible
22,DuPage County,30053,Addison 053,Prince of Peace Lutheran Church,Church Facility,1213 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30054,Addison 054,Addison Links & Tees Golf Facility,Park District Facility,950 W Lake St,,Addison,,60101,Y
22,DuPage County,30056,Addison 056,Addison Village Hall,City/Village Facility,1 Friendship Plz,,Addison,,60101,Y
22,DuPage County,30057,Addison 057,Addison Park Dist Rec Center,Park District Facility,120 E Oak St,,Addison,,60101,Y
22,DuPage County,30059,Addison 059,Prince of Peace Lutheran Church,Church Facility,1213 W Army Trail Blvd,,Addison,,60101,Y
22,DuPage County,30060,Addison 060,Addison Centennial Park,Park District Facility,1776 Centennial Dr,,Addison,,60101,Y
22,DuPage County,30066,Addison 066,Addison Links & Tees Golf Facility,Park District Facility,950 W Lake St,,Addison,,60101,Y
22,DuPage County,30067,Addison 067,St Joseph Parish,Church Facility,330 E Fullerton Ave,,Addison,,60101,Y
28,Franklin County,6401,Eastern,Eastern Township Bldg,,22165 Main St,,Akin,,62890,Y
98,Whiteside County,1201,ALBANY 1,ALBANY METHODIST CHURCH,,"502 1ST AVE, ALBANY IL",,ALBANY IL,,61230,Y
14,Clinton County,110004,Lookingglass 4,Lookingglass 4,Village Hall,206 W. Dwight,,Albers,,62215,Y
24,Edwards County,101,ALBION 1,FIRST CHRISTIAN CHURCH,,106 North Fourth Street,,ALBION,,62806,Y
24,Edwards County,102,ALBION 2,EXHIBITION BLDG,,90 West Pine,,ALBION,,62806,Y
24,Edwards County,103,ALBION 3,EXHIBITION BLDG,,90 West Pine,,ALBION,,62806,Y
24,Edwards County,401,DIXON,EXHIBITION BUILDING,,90 West Pine,,ALBION,,62806,Y
24,Edwards County,501,ELLERY,FIRST CHRISTIAN CHURCH,,106 North Fourth Street,,ALBION,,62806,Y
24,Edwards County,802,SHELBY 2,EXHIBITION BLDG.,,90 West Pine,,ALBION,,62806,Y
63,McHenry County,ALD 1,ALDEN TOWNSHIP 1,ALDEN TOWNSHIP OFFICES,OTHER,8515 ALDEN RD,,ALDEN,,60001,Y
66,Mercer County,802,MERCER 2,VFW BLDG,,106 SW 3RD AVE ALEDO,,"ALEDO, IL 61231",,,Y
66,Mercer County,805,MERCER 5,VFW BLDG,,106 SW 3RD AVE ALEDO,,"ALEDO, IL 61231",,,Y
66,Mercer County,1201,DUNCAN,DUNCAN TWP BLDG,,1499-130TH ST,,"ALEDO, ILLINOIS 61231",,,Y
66,Mercer County,801,MERCER 1,VFW BLDG,,106 SW 3RD AVE ALEDO,,"ALEDO,IL 61231",,,Y
66,Mercer County,803,MERCER 3,VFW BLDG,,106 SW 3RD AVE ALEDO,,"ALEDO,IL 61231",,,Y
66,Mercer County,804,MERCER 4,VFW BLDG,,106 SW 3RD AVE ALEDO,,"ALEDO,IL 61231",,,Y
66,Mercer County,806,MERCER 6,MERCER TWP. BLDG.,,1834 100TH AVE ALEDO,,"ALEDO,IL 61231",,,Y
69,Morgan County,124,ALEXANDER,ROAD DISTRICT # 8 BLDG,,903 OLD 36/ROAD DISTRICT AVE,,ALEXANDER,,62601,Y
69,Morgan County,137,PRENTICE-SINCLAIR,ROAD DISTRICT # 8 BLDG,,903 OLD 36/ROAD DISTRICT AVE,,ALEXANDER,,62601,Y
94,Warren County,501,KELLY 1,ALEXIS COMMUNITY CENTER,,"204 W. PALMER ST, ALEXIS",,ALEXIS,,61412,Y
94,Warren County,1001,SPRING GROVE-ALEXIS 1,ALEXIS COMMUNITY CENTER,,"204 W. PALMER ST, ALEXIS",,ALEXIS,,61412,Y
66,Mercer County,401,SUEZ,SUEZ TWP HALL,,304 N ALEXANDER ST,,"ALEXIS,IL 61412",,,Y
45,Kane County,DU0024,Dundee 24,Algonquin Lakes Elementary School,School,1401 Compton Dr,,Algonquin,,60102,Y
45,Kane County,DU0025,Dundee 25,Westfield Comm School,School,2100 Sleepy Hollow Rd,,Algonquin,,60102,Y
45,Kane County,DU0029,Dundee 29,Westfield Comm School,School,2100 Sleepy Hollow Rd,,Algonquin,,60102,Y
45,Kane County,DU0035,Dundee 35,Algonquin Lakes Elementary School,School,1401 Compton Dr,,Algonquin,,60102,Y
63,McHenry County,ALG 1,ALGONQUIN TOWNSHIP 1,OLD ALGONQUIN VILLAGE HALL,OTHER,2 S MAIN,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 6,ALGONQUIN TOWNSHIP 6,ST MARGARET MARY,CHURCH,113 S HUBBARD ST,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 14,ALGONQUIN TOWNSHIP 14,EASTGATE MANOR - TOWN SQUARE,OTHER,101 EASTGATE CT,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 18,ALGONQUIN TOWNSHIP 18,CONGREGATIONAL CHURCH OF ALGONQUIN,CHURCH,109 WASHINGTON ST,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 30,ALGONQUIN TOWNSHIP 30,LIGHT OF CHRIST LUTHERAN CHURCH-A,CHURCH,100 HANSON RD,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 32,ALGONQUIN TOWNSHIP 32,ALGONQUIN MIDDLE SCHOOL,PUBLIC SCHOOL,520 LONGWOOD DR,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 39,ALGONQUIN TOWNSHIP 39,LIGHT OF CHRIST LUTHERAN CHURCH-B,CHURCH,100 HANSON RD,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 41,ALGONQUIN TOWNSHIP 41,NEUBERT ELEMENTARY SCHOOL,PUBLIC SCHOOL,1100 HUNTINGTON DR,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 43,ALGONQUIN TOWNSHIP 43,NEW ALGONQUIN VILLAGE HALL,PUBLIC CENTER,2200 HARNISH RD,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 44,ALGONQUIN TOWNSHIP 44,ALGONQUIN AREA BRANCH LIBRARY,LIBRARY,115 EASTGATE DR,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 56,ALGONQUIN TOWNSHIP 56,EASTGATE MANOR - TOWN SQUARE,OTHER,101 EASTGATE CT,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 62,ALGONQUIN TOWNSHIP 62,LIGHT OF CHRIST LUTHERAN CHURCH-A,CHURCH,100 HANSON RD,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 63,ALGONQUIN TOWNSHIP 63,JACOBS HIGH SCHOOL,PUBLIC SCHOOL,2601 BUNKER HILL DR,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 64,ALGONQUIN TOWNSHIP 64,ALGONQUIN AREA BRANCH LIBRARY,LIBRARY,115 EASTGATE DR,,ALGONQUIN,,60102,Y
63,McHenry County,ALG 68,ALGONQUIN TOWNSHIP 68,ALGONQUIN AREA LIBRARY,LIBRARY,2600 HARNISH DR,,ALGONQUIN,,60102,Y
57,Madison County,701,ALHAMBRA 01,ALHAMBRA TOWNSHIP PARK DANCE HALL,,610 W MAIN,,ALHAMBRA,,62001,Y
57,Madison County,702,ALHAMBRA 02,ALHAMBRA TOWNSHIP PARK DANCE HALL,,610 W MAIN,,ALHAMBRA,,62001,Y
93,Wabash County,210,WABASH,ALLENDALE COMMUNITY CENTER,,310 E. MAIN ST.,,ALLENDALE IL,,62410,Y
70,Moultrie County,201,EAST NELSON #1,ALLENVILLE COMMUNITY CENTER,,202 S. Allen St.,,"ALLENVILLE, IL",,61951,Y
58,Marion County,10001,Alma 1,Alma 1 & 2,Alma Village Hall,106 7th St,,Alma,,62807,?
58,Marion County,10002,Alma 2,Alma 1 & 2,Alma Village Hall,106 7th St,,Alma,,62807,?
88,St. Clair County,100001,Centreville 1,Centreville 1,Alorton Village Hall,4821 Bond Ave,,Alorton,,62207,Y
88,St. Clair County,100012,Centreville 12,Centreville 12,Community Center,4822 McCasland Ave,,Alorton,,62207,Y
37,Henry County,2101,OXFORD,ALPHA TOWN HALL,,111 WEST D ST,,ALPHA,,61413,Y
85,Scott County,1,ALSEY,ALSEY VILLAGE HALL,,126 MAIN STREET,,ALSEY IL,,62610,?
16,Cook County,9700008,WORTH 008,WORTH 008,APOLLO PARK,12521 KOSTNER AVE,,ALSIP,,60803,Y
16,Cook County,9700012,WORTH 012,WORTH 012,HAZELGREEN SCHOOL,11751 S LAWLER AVE,,ALSIP,,60803,Y
16,Cook County,9700015,WORTH 015,WORTH 015,WORTH TOWNSHIP,11601 S PULASKI RD,,ALSIP,,60803,Y
16,Cook County,9700016,WORTH 016,WORTH 016,HAZELGREEN SCHOOL,11751 S LAWLER AVE,,ALSIP,,60803,Y
16,Cook County,9700022,WORTH 022,WORTH 022,NEW HOPE CHURCH,5100 W 115TH ST,,ALSIP,,60803,Y
16,Cook County,9700034,WORTH 034,WORTH 034,APOLLO PARK,12521 KOSTNER AVE,,ALSIP,,60803,Y
16,Cook County,9700055,WORTH 055,WORTH 055,HAMLIN UPPER GRADE CENTER,12150 S HAMLIN AVE,,ALSIP,,60803,Y
16,Cook County,9700059,WORTH 059,WORTH 059,ALSIP HERITAGE II APARTMENTS,3715 123RD PL,,ALSIP,,60803,Y
16,Cook County,9700073,WORTH 073,WORTH 073,PRAIRIE JUNIOR HIGH SCHOOL,11910 S KOSTNER AVE,,ALSIP,,60803,Y
16,Cook County,9700087,WORTH 087,WORTH 087,PRAIRIE JUNIOR HIGH SCHOOL,11910 S KOSTNER AVE,,ALSIP,,60803,Y
16,Cook County,9700088,WORTH 088,WORTH 088,PRAIRIE JUNIOR HIGH SCHOOL,11910 S KOSTNER AVE,,ALSIP,,60803,Y
16,Cook County,9700097,WORTH 097,WORTH 097,ALSIP HERITAGE I APARTMENTS,11949 RIDGEWAY AVE,,ALSIP,,60803,Y
25,Effingham County,201,MOUND 1,"MOUND 1 - TOWN HALL, EAST ROOM",,6 W ADAMS AVE,,ALTAMONT,,62411,Y
25,Effingham County,202,MOUND 2,"MOUND 2 - TOWN HALL, WEST ROOM",,6 W ADAMS AVE,,ALTAMONT,,62411,Y
25,Effingham County,203,MOUND 3,MOUND 3 - MUNICIPAL BUILDING,,202 N SECOND ST,,ALTAMONT,,62411,Y
25,Effingham County,301,MOCCASIN,MOCCASIN - TOWN HALL,,"CO ROAD #6, E 1600TH AVE",,ALTAMONT,,62411,Y
91,Union County,10015,Alto Pass,New Alto Pass Civic Center,,19 Elm Street,,Alto Pass,,62905,Y
57,Madison County,2001,FOSTER 01,"TOWN HALL, FOSTERBURG-ALTON",,2919 MAIN,,ALTON,,62002,Y
57,Madison County,2002,FOSTER 02,COMMUNITY CHRISTIAN CHURCH,,2345 UNION SCHOOL RD.,,ALTON,,62002,Y
57,Madison County,2003,FOSTER 03,"TOWN HALL, FOSTERBURG-ALTON",,2919 MAIN,,ALTON,,62002,Y
57,Madison County,2004,FOSTER 04,ABUNDANT LIFE CHURCH,,3986 HUMBERT RD.,,ALTON,,62002,Y
57,Madison County,2005,FOSTER 05,ABUNDANT LIFE CHURCH,,3986 HUMBERT RD,,ALTON,,62002,Y
57,Madison County,2301,ALTON 01,ALTON CITY HALL,,101 E. THIRD ST.,,ALTON,,62002,Y
57,Madison County,2302,ALTON 02,ALTON FIRE STATION #2,,3212 COLLEGE AVE,,ALTON,,62002,Y
57,Madison County,2303,ALTON 03,RIVERBENDER.COM COMMUNITY CENTER,,200 W. 3RD ST,,ALTON,,62002,Y
57,Madison County,2304,ALTON 04,ROCK SPRINGS GOLF COURSE,,1 ROCK SPRINGS DR,,ALTON,,62002,Y
57,Madison County,2305,ALTON 05,TRINITY EPISCOPAL CHAPEL,,1901 STATE ST,,ALTON,,62002,Y
57,Madison County,2306,ALTON 06,MESSIAH LUTHERAN CHURCH,,920 MILTON ROAD,,ALTON,,62002,Y
57,Madison County,2307,ALTON 07,ALTON LITTLE THEATER,,2450 N HENRY,,ALTON,,62002,Y
57,Madison County,2308,ALTON 08,ALTON HOUSING AUTHORITY,,3116 ACORN ST.,,ALTON,,62040,Y
57,Madison County,2309,ALTON 09,CALVARY BAPTIST CHURCH,,1422 WASHINGTON,,ALTON,,62002,Y
57,Madison County,2310,ALTON 10,IMPACT,EAST ROOM,2751 E BROADWAY,,ALTON,,62002,Y
57,Madison County,2311,ALTON 11,THE BRIDGE,,504 E 12TH ST,,ALTON,,62002,Y
57,Madison County,2312,ALTON 12,ALTON FIRE STATION #1,,333 E 20TH ST,,ALTON,,62002,Y
57,Madison County,2313,ALTON 13,THE WELL WORSHIP CENTER,,212 E ELM ST,,ALTON,,62002,Y
57,Madison County,2314,ALTON 14,ELM STREET PRESBYTERIAN CHURCH,,101 W ELM ST,,ALTON,,62002,Y
57,Madison County,2315,ALTON 15,SENIOR SERVICE PLUS,,2603 N RODGERS,,ALTON,,62002,Y
57,Madison County,2316,ALTON 16,MESSIAH LUTHERAN CHURCH,,920 MILTON ROAD,,ALTON,,62002,Y
57,Madison County,2317,ALTON 17,ALTON LAW ENFORCEMENT BLDG,,1700 E BROADWAY,,ALTON,,62002,Y
57,Madison County,2318,ALTON 18,SCOTT BIBB CENTER-LEWIS & CLARK,,1004 E 5TH ST,,ALTON,,62002,Y
57,Madison County,2319,ALTON 19,TABERNACLE MB CHURCH,,2621 AMELIA ST,,ALTON,,62002,Y
57,Madison County,2320,ALTON 20,ALTON LAW ENFORCEMENT BLDG.,,1700 E. BROADWAY,,ALTON,,62002,Y
57,Madison County,2321,ALTON 21,SENIOR SERVICE PLUS,,2603 N RODGERS,,ALTON,,62002,Y
57,Madison County,2322,ALTON 22,THE BRIDGE,,504 E 12TH ST,,ALTON,,62002,Y
57,Madison County,2323,ALTON 23,TABERNACLE MB CHURCH,,2621 AMELIA ST,,ALTON,,62002,Y
57,Madison County,2324,ALTON 24,MESSIAH LUTHERAN CHURCH,,920 MILTON ROAD,,ALTON,,62002,Y
57,Madison County,2325,ALTON 25,CALVARY BAPTIST CHURCH,,1422 WASHINGTON,,ALTON,,62002,Y
57,Madison County,2402,GODFREY 02,UNITED METHODIST VILLAGE,ENTRANCE OFF N. ALBY,5201 ASBURY,,ALTON,,62002,Y
57,Madison County,2411,GODFREY 11,UNITED METHODIST VILLAGE,ENTRANCE OFF N. ALBY,5201 ASBURY,,ALTON,,62002,Y
57,Madison County,2412,GODFREY 12,UNITED METHODIST VILLAGE,,5201 ASBURY,,ALTON,,62002,Y
57,Madison County,2413,GODFREY 13,ABUNDANT LIFE CHURCH,,3986 HUMBERT RD.,,ALTON,,62002,Y
48,Knox County,1501,WALNUT GROVE,MUNICIPAL BUILDING,,,,ALTONA,,61414,Y
52,Lee County,201,AMBOY 1,AMBOY COMMUNITY BUILDING,,280 W WASSON RD,,AMBOY,,61310,Y
52,Lee County,202,AMBOY 2,AMBOY COMMUNITY BUILDING,,280 W WASSON RD,,AMBOY,,61310,Y
52,Lee County,203,AMBOY 3,AMBOY COMMUNITY BUILDING,,280 W WASSON RD,,AMBOY,,61310,Y
52,Lee County,1101,LEE CENTER,AMBOY COMMUNITY BUILDING,,280 W WASSON RD,,AMBOY,,61310,Y
64,McLean County,201,ANCHOR 01,ANCHOR TOWN HALL,,237 SECOND STREET,,"ANCHOR, IL",,61720,?
81,Rock Island County,160001,ANDALUSIA,AND,ANDALUSIA,ANDALUSIA LION'S CLUB,302 2 ST W,ANDALUSIA,,,Y
37,Henry County,1701,ANDOVER,AMERICAN LEGION HALL,,342 5TH ST,,ANDOVER,,61233,Y
91,Union County,10001,Anna 1,Main Street Center,,400 S. Main St.,,Anna,,62906,Y
91,Union County,10002,Anna 2,Main Street Center,,400 S. Main St.,,Anna,,62906,Y
91,Union County,10003,Anna 3,Anna City Hall Community,,103 Market St.,,Anna,,62906,Y
91,Union County,10004,Anna 4,Anna City Hall Community,,103 Market St.,,Anna,,62906,Y
91,Union County,10005,Anna 5,Nazarene Church,,100 Kirk St.,,Anna,,62906,Y
91,Union County,10006,Anna 6,Nazarene Church,,100 Kirk St.,,Anna,,62906,Y
91,Union County,10017,Balcom,Big Creek Baptist Church,,485 Big Creek Church Road,,Anna,,62906,N
91,Union County,10020,Stokes,Campground Church,,50 Tunnel Ln.,,Anna,,62906,Y
91,Union County,10021,Anna 7,Jo Co Pools,,1009 Enterprise Dr.,,Anna,,62906,Y
17,Crawford County,201,PRAIRIE 1,PRAIRIE-LICKING FIRE HOUSE,,7031 E 2000TH AVE,,ANNAPOLIS IL,,62413,Y
37,Henry County,1001,ALBA,ALBA TOWNSHIP HALL,,21634 S WILSEY RD,,ANNAWAN,,61234,Y
37,Henry County,1501,ANNAWAN,ANNAWAN COMMUNITY CENTER,,314 N STATE STREET,,ANNAWAN,,61234,Y
49,Lake County,1,Antioch 1,CrossView Church,Polling Place 8,750 Highview Dr,,Antioch,,60002,Y
49,Lake County,2,Antioch 2,CrossView Church,Polling Place 8,750 Highview Dr,,Antioch,,60002,Y
49,Lake County,3,Antioch 3,CrossView Church,Polling Place 8,750 Highview Dr,,Antioch,,60002,Y
49,Lake County,4,Antioch 4,CrossView Church,Polling Place 8,750 Highview Dr,,Antioch,,60002,Y
49,Lake County,5,Antioch 5,Antioch Senior Center,Polling Place 8,817 Holbeck Dr,,Antioch,,60002,Y
49,Lake County,6,Antioch 6,Antioch Senior Center,Polling Place 8,817 Holbeck Dr,,Antioch,,60002,Y
49,Lake County,7,Antioch 7,Antioch Senior Center,Polling Place 8,817 Holbeck Dr,,Antioch,,60002,Y
49,Lake County,8,Antioch 8,Antioch Senior Center,Polling Place 8,817 Holbeck Dr,,Antioch,,60002,Y
49,Lake County,10,Antioch 10,Faith Evangelical Lutheran Church,Polling Place 6,24300 W Grass Lake Rd,,Antioch,,60002,Y
49,Lake County,11,Antioch 11,Faith Evangelical Lutheran Church,Polling Place 6,24300 W Grass Lake Rd,,Antioch,,60002,Y
49,Lake County,14,Antioch 14,Faith Evangelical Lutheran Church,Polling Place 6,24300 W Grass Lake Rd,,Antioch,,60002,Y
49,Lake County,15,Antioch 15,Faith Evangelical Lutheran Church,Polling Place 6,24300 W Grass Lake Rd,,Antioch,,60002,Y
49,Lake County,143,Lake Villa 143,Faith Evangelical Lutheran Church,Polling Place 6,24300 W Grass Lake Rd,,Antioch,,60002,Y
43,JoDaviess County,101,APPLE RIVER,APPLE RIVER,,APPLE RIVER EVENT CENTER,446 E HICKORY ST,"APPLE RIVER, IL 61001",,,Y
43,JoDaviess County,1801,THOMPSON,THOMPSON,,APPLE CANYON POA CLUB-THOMPSON,14A157 CANYON CLUB DR,"APPLE RIVER, IL 61001",,,Y
21,Douglas County,101,ARCOLA 1,ARCOLA 1,,ARCOLA COMMUNITY CNTR,,ARCOLA,,61910,Y
21,Douglas County,102,ARCOLA 2,ARCOLA 2,,ARCOLA COMMUNITY CNTR,,ARCOLA,,61910,Y
21,Douglas County,103,ARCOLA 3,ARCOLA 3,,ARCOLA COMMUNITY CNTR,,ARCOLA,,61910,Y
9,Cass County,111,ARENZVILLE 11,VILLAGE CITY HALL ZUSCHKA SQ,,201 E MAIN ST,,ARENZVILLE,,62611,Y
9,Cass County,609,HAGENER 9,VILLAGE CITY HALL ZUSCHKA SQ,,201 E MAIN ST,,ARENZVILLE,,62611,Y
55,Macon County,401,FRIENDS CREEK,ARG-ORE PUBLIC LIBRARY,,100 E WATER,,ARGENTA,,62501,Y
6,Bureau County,701,WESTFIELD 1,ARLINGTON VILLAGE HALL,,208 E. Jay St.,po box 16,ARLINGTON,,61312,Y
16,Cook County,7400006,ELK GROVE 006,ELK GROVE 006,DANA POINT CONDOMINIUM ASSOCIATION,1519 E CENTRAL RD,,ARLINGTON HEIGHTS,,60005,N
16,Cook County,7400014,ELK GROVE 014,ELK GROVE 014,CLEARBROOK,1835 W CENTRAL RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400019,ELK GROVE 019,ELK GROVE 019,CHURCH OF THE INCARNATION,330 W GOLF RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400021,ELK GROVE 021,ELK GROVE 021,FOREST VIEW EDUCATION CENTER,2121 S GOEBBERT RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400041,ELK GROVE 041,ELK GROVE 041,DUNTON ADMINISTRATION BLDG,1200 S DUNTON AVE,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400042,ELK GROVE 042,ELK GROVE 042,FOREST VIEW EDUCATION CENTER,2121 S GOEBBERT RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400044,ELK GROVE 044,ELK GROVE 044,DUNTON ADMINISTRATION BLDG,1200 S DUNTON AVE,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400046,ELK GROVE 046,ELK GROVE 046,HERITAGE PARK,506 W VICTORIA LN,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,7400048,ELK GROVE 048,ELK GROVE 048,THE MOORINGS,811 E CENTRAL RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,7400050,ELK GROVE 050,ELK GROVE 050,FOREST VIEW EDUCATION CENTER,2121 S GOEBBERT RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,8700004,PALATINE 004,PALATINE 004,ARBOR LAKES APARTMENTS,4248 N BLOOMINGTON AVE,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600002,WHEELING 002,WHEELING 002,FRONTIER PARK COMMUNITY CENTER,1933 N KENNICOTT DR,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600003,WHEELING 003,WHEELING 003,LUTHERAN HOME,800 W OAKTON ST,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600005,WHEELING 005,WHEELING 005,FIRST PRESBYTERIAN CHURCH,302 N DUNTON AVE,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600006,WHEELING 006,WHEELING 006,LIVING CHRIST LUTHERAN CHURCH,625 E DUNDEE RD,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600007,WHEELING 007,WHEELING 007,PIONEER PARK,500 S FERNANDEZ AVE,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600008,WHEELING 008,WHEELING 008,THOMAS MIDDLE SCHOOL,1430 N BELMONT,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600010,WHEELING 010,WHEELING 010,LUTHERAN HOME,800 W OAKTON ST,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600014,WHEELING 014,WHEELING 014,PIONEER PARK,500 S FERNANDEZ AVE,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600015,WHEELING 015,WHEELING 015,ALBERT GOEDKE HOUSE,215 W MINER ST,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600019,WHEELING 019,WHEELING 019,ST SIMON'S EPISCOPAL CHURCH,717 W KIRCHOFF RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600020,WHEELING 020,WHEELING 020,WINDSOR SCHOOL,1315 E MINER ST,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600021,WHEELING 021,WHEELING 021,JESURUN PRESBYTERIAN CHURCH,2107 E RAND RD,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600022,WHEELING 022,WHEELING 022,LA HANSON PUBLIC WORK CENTER,222 N RIDGE AVE,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600023,WHEELING 023,WHEELING 023,SOUTHMINSTER PRESBYTERIAN CHURCH,916 E CENTRAL RD,,ARLINGTON HEIGHTS,,60005,Y
16,Cook County,9600024,WHEELING 024,WHEELING 024,LUTHER VILLAGE,1250 N VILLAGE DR,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600026,WHEELING 026,WHEELING 026,KNIGHTS OF COLUMBUS,15 N HICKORY AVE,,ARLINGTON HEIGHTS,,60004,Y
16,Cook County,9600031,WHEELING 031,WHEELING 031,FIRST PRESBYTERIAN CHURCH,302 N DUNTON AVE,,ARLINGTON HEIGHTS,,60004,Y
